subject,session,trial_type,recalled,probability,score,pval
LTP462,0,Neg,0.3125,0.4804119922730204,0.6685267857142857,0.0134
LTP462,0,Pos,0.7777777777777778,0.5129256579314245,0.6685267857142857,0.0134
LTP462,0,Sham,0.36,0.48579436509559654,0.6685267857142857,0.0134
LTP462,1,Neg,0.5588235294117647,0.4829538877494553,0.7779204107830552,0.0004
LTP462,1,Pos,0.7142857142857143,0.5170124709874481,0.7779204107830552,0.0004
LTP462,1,Sham,0.47368421052631576,0.47212433753353933,0.7779204107830552,0.0004
LTP468,0,Neg,0.75,0.49619689739117623,0.3911483253588517,0.9234
LTP468,0,Pos,0.7857142857142857,0.5165134021228964,0.3911483253588517,0.9234
LTP468,0,Sham,0.35,0.5117622117905273,0.3911483253588517,0.9234
LTP468,1,Neg,0.5185185185185185,0.4848840502172446,0.5499412455934195,0.2508
LTP468,1,Pos,0.8571428571428571,0.5125538369375899,0.5499412455934195,0.2508
LTP468,1,Sham,0.5833333333333334,0.486423397165514,0.5499412455934195,0.2508
LTP470,0,Neg,0.5,0.4239382050565108,0.6210407239819005,0.0538
LTP470,0,Pos,0.7142857142857143,0.5121095058055675,0.6210407239819005,0.0538
LTP470,0,Sham,0.3333333333333333,0.45105997072088677,0.6210407239819005,0.0538
LTP470,1,Neg,0.7,0.4593728859830925,0.582535885167464,0.145
LTP470,1,Pos,0.8947368421052632,0.5271575703829642,0.582535885167464,0.145
LTP470,1,Sham,0.625,0.5008119949951462,0.582535885167464,0.145
LTP473,0,Neg,0.875,0.4813819467000069,0.56,0.3408
LTP473,0,Pos,0.8666666666666667,0.5302446982149821,0.56,0.3408
LTP473,0,Sham,0.8888888888888888,0.5034646965317765,0.56,0.3408
LTP473,1,Neg,0.8888888888888888,0.4896163319975258,0.2844827586206896,0.8398
LTP473,1,Pos,0.7222222222222222,0.5179930457708491,0.2844827586206896,0.8398
LTP473,1,Sham,0.9285714285714286,0.49838460400401524,0.2844827586206896,0.8398
LTP474,0,Neg,1.0,0.4983374459859211,0.3117283950617284,0.934
LTP474,0,Pos,0.6071428571428571,0.8469745401636057,0.3117283950617284,0.934
LTP474,0,Sham,0.95,0.8435672273102295,0.3117283950617284,0.934
LTP474,1,Neg,0.6666666666666666,0.2578912262222,0.6011428571428571,0.0892
LTP474,1,Pos,0.7647058823529411,0.9720435248634115,0.6011428571428571,0.0892
LTP474,1,Sham,0.4230769230769231,0.675773674886816,0.6011428571428571,0.0892
LTP475,0,Neg,1.0,0.401981461168921,0.6810344827586207,0.2136
LTP475,0,Pos,0.8333333333333334,0.646702124969487,0.6810344827586207,0.2136
LTP475,0,Sham,0.9545454545454546,0.6442679454343786,0.6810344827586207,0.2136
LTP475,1,Neg,0.9,0.43899979829068175,0.2592592592592593,0.9728
LTP475,1,Pos,0.8095238095238095,0.671569454891446,0.2592592592592593,0.9728
LTP475,1,Sham,0.7777777777777778,0.6306455405972988,0.2592592592592593,0.9728
LTP476,0,Neg,0.5217391304347826,0.4291564051005946,0.5879332477535302,0.143
LTP476,0,Pos,0.6875,0.5337091514682509,0.5879332477535302,0.143
LTP476,0,Sham,0.8,0.414203235150418,0.5879332477535302,0.143
LTP476,1,Neg,0.46153846153846156,0.395411421665877,0.7392592592592593,0.0018
LTP476,1,Pos,0.5,0.5451073366284283,0.7392592592592593,0.0018
LTP476,1,Sham,0.8421052631578947,0.3547695394780064,0.7392592592592593,0.0018
LTP477,0,Neg,0.631578947368421,0.05142115617300663,0.7324999999999999,0.0024
LTP477,0,Sham,0.5,0.05457797581483156,0.7324999999999999,0.0024
LTP477,1,Neg,0.5151515151515151,0.21824800287597074,0.6470588235294118,0.03
LTP477,1,Pos,0.8,0.5755380858333454,0.6470588235294118,0.03
LTP477,1,Sham,0.4375,0.3052989618115035,0.6470588235294118,0.03
LTP478,0,Neg,0.8181818181818182,0.42564088220381796,0.49658002735978113,0.5174
LTP478,0,Pos,0.68,0.5886223981549034,0.49658002735978113,0.5174
LTP478,0,Sham,0.5217391304347826,0.3701013676633191,0.49658002735978113,0.5174
LTP478,2,Neg,0.9523809523809523,0.31978687272654555,0.6949891067538126,0.0338
LTP478,2,Sham,0.8235294117647058,0.31335169173265737,0.6949891067538126,0.0338
