,subject,session,recalled,predicted
0,LTP462,0,1,0.5292114834741106
1,LTP462,0,0,0.5057969507373534
2,LTP462,0,0,0.5460936699468008
3,LTP462,0,1,0.40665893574134854
4,LTP462,0,1,0.47883482893150314
5,LTP462,0,1,0.4907832983346399
6,LTP462,0,0,0.4556272037240532
7,LTP462,0,1,0.4951701826625132
8,LTP462,0,0,0.4547943761634402
9,LTP462,0,1,0.5339635932431807
10,LTP462,0,1,0.5029034379399671
11,LTP462,0,1,0.5099362585419827
12,LTP462,0,0,0.5071298130985958
13,LTP462,0,0,0.4804072174002776
14,LTP462,0,1,0.5062007794493483
15,LTP462,0,0,0.5675094499832813
16,LTP462,0,0,0.5004587466652085
17,LTP462,0,1,0.4995078203863872
18,LTP462,0,1,0.47047299282068117
19,LTP462,0,1,0.5379853912690242
20,LTP462,0,1,0.4771014027992365
21,LTP462,0,1,0.5465516497512986
22,LTP462,0,1,0.5542753945475966
23,LTP462,0,0,0.5271708246977618
24,LTP462,0,0,0.4671153314230935
25,LTP462,0,0,0.5159821837541377
26,LTP462,0,1,0.5225404020591801
27,LTP462,0,1,0.46067997326777627
28,LTP462,0,1,0.4715502785016932
29,LTP462,0,1,0.4933019548407073
30,LTP462,1,1,0.8098215541672169
31,LTP462,1,1,0.6231412094168475
32,LTP462,1,1,0.7743908025076922
33,LTP462,1,1,0.7840542095042362
34,LTP462,1,0,0.8077508917272408
35,LTP462,1,0,0.552571070037715
36,LTP462,1,1,0.7944398671102103
37,LTP462,1,0,0.5464553794315674
38,LTP462,1,0,0.8006901362413014
39,LTP462,1,1,0.7152545588982056
40,LTP462,1,0,0.8391840683864514
41,LTP462,1,1,0.894360080446643
42,LTP462,1,0,0.4837791040542593
43,LTP462,1,0,0.7084043363985318
44,LTP462,1,1,0.6537988465088302
45,LTP462,1,1,0.7159483989467736
46,LTP462,1,1,0.588324728847234
47,LTP462,1,1,0.5694167135730264
48,LTP462,1,1,0.8394084632414228
49,LTP462,1,1,0.7550095804715076
