subject,session,trial_type,recalled,probability,score,pval
LTP475,1,Neg,0.9777777777777777,0.46979189662988524,0.2592592592592593,0.9728
LTP475,1,Pos,0.8888888888888888,0.6107382221565145,0.2592592592592593,0.9728
LTP475,1,Sham,0.8,0.6250684339868227,0.2592592592592593,0.9728
LTP476,0,Neg,0.5777777777777777,0.4573470538050221,0.5879332477535302,0.143
LTP476,0,Pos,0.5777777777777777,0.5264549506304491,0.5879332477535302,0.143
LTP476,0,Sham,0.7666666666666667,0.42745765787181883,0.5879332477535302,0.143
LTP476,1,Neg,0.4222222222222222,0.4456754678447586,0.7392592592592593,0.0018
LTP476,1,Pos,0.6,0.5264449915543167,0.7392592592592593,0.0018
LTP476,1,Sham,0.8666666666666667,0.38525568146775974,0.7392592592592593,0.0018
LTP477,0,Neg,0.6222222222222222,0.08415046386877868,0.7324999999999999,0.0024
LTP477,0,Pos,0.7111111111111111,0.5152583299912994,0.7324999999999999,0.0024
LTP477,0,Sham,0.5,0.10336055793145629,0.7324999999999999,0.0024
LTP477,1,Neg,0.4222222222222222,0.2573872727113559,0.6470588235294118,0.03
LTP477,1,Pos,0.6222222222222222,0.5610117078824443,0.6470588235294118,0.03
LTP477,1,Sham,0.6,0.3497993172317846,0.6470588235294118,0.03
LTP478,0,Neg,0.7555555555555555,0.4655979538732537,0.49658002735978113,0.5174
LTP478,0,Pos,0.6444444444444445,0.5687146488676689,0.49658002735978113,0.5174
LTP478,0,Sham,0.5666666666666667,0.38996506956905025,0.49658002735978113,0.5174
LTP478,2,Neg,0.9555555555555556,0.3660202264056452,0.6949891067538126,0.0338
LTP478,2,Pos,0.9111111111111111,0.5008128465588555,0.6949891067538126,0.0338
LTP478,2,Sham,0.8,0.33658217529723683,0.6949891067538126,0.0338
LTP479,0,Neg,0.9555555555555556,0.3546833258802126,0.8983050847457628,0.1144
LTP479,0,Pos,0.9555555555555556,0.5360273673153998,0.8983050847457628,0.1144
LTP479,0,Sham,0.9666666666666667,0.38297419618691303,0.8983050847457628,0.1144
LTP479,1,Neg,0.8888888888888888,0.44509032738444676,0.368421052631579,0.7716
LTP479,1,Pos,0.9555555555555556,0.5227981913009458,0.368421052631579,0.7716
LTP479,1,Sham,0.9333333333333333,0.45231056369913214,0.368421052631579,0.7716
LTP481,0,Neg,0.4666666666666667,0.45943126523936845,0.5261401557285873,0.385
LTP481,0,Pos,0.4222222222222222,0.5839999566386415,0.5261401557285873,0.385
LTP481,0,Sham,0.36666666666666664,0.5160351021574685,0.5261401557285873,0.385
LTP481,1,Neg,0.9111111111111111,0.42642745347657324,0.38181818181818183,0.8108
LTP481,1,Pos,0.8444444444444444,0.5180995338368265,0.38181818181818183,0.8108
LTP481,1,Sham,1.0,0.4313164739963152,0.38181818181818183,0.8108
LTP481,3,Neg,0.7555555555555555,0.38819462154250617,0.28014842300556586,0.9896
LTP481,3,Pos,0.35555555555555557,0.5279086838964736,0.28014842300556586,0.9896
LTP481,3,Sham,0.8666666666666667,0.432559699336391,0.28014842300556586,0.9896
LTP484,0,Neg,0.7111111111111111,0.1553144635033772,0.5982142857142857,0.2652
LTP484,0,Pos,0.8222222222222222,,0.5982142857142857,0.2652
LTP484,0,Sham,0.9,0.16091464662716476,0.5982142857142857,0.2652
LTP484,1,Neg,0.8222222222222222,0.32013010945226356,0.7251461988304094,0.092
LTP484,1,Pos,0.8888888888888888,,0.7251461988304094,0.092
LTP484,1,Sham,0.9333333333333333,0.3261240432064034,0.7251461988304094,0.092
LTP484,2,Neg,0.7777777777777778,0.25174296447967087,0.7633928571428572,0.0388
LTP484,2,Pos,0.8444444444444444,0.5335645951156284,0.7633928571428572,0.0388
LTP484,2,Sham,0.8666666666666667,0.28189097758926657,0.7633928571428572,0.0388
LTP484,3,Neg,0.8,0.24247407747895955,0.7276785714285714,0.068
LTP484,3,Pos,0.6888888888888889,0.5201022798599437,0.7276785714285714,0.068
LTP484,3,Sham,0.8666666666666667,0.19535163311003728,0.7276785714285714,0.068
LTP486,0,Neg,0.8888888888888888,0.44550547504983057,0.22033898305084745,0.7834
LTP486,0,Pos,0.9555555555555556,0.5918593834905878,0.22033898305084745,0.7834
LTP486,0,Sham,0.9666666666666667,0.46531996258080177,0.22033898305084745,0.7834
LTP486,1,Neg,0.9555555555555556,0.4697973941142261,0.34375,0.9524
LTP486,1,Pos,0.9333333333333333,0.6077751639500186,0.34375,0.9524
LTP486,1,Sham,0.7,0.5672873996305057,0.34375,0.9524
LTP486,2,Neg,0.9333333333333333,0.4842394713872276,0.8305084745762712,0.189
LTP486,2,Pos,1.0,0.5206049228267129,0.8305084745762712,0.189
LTP486,2,Sham,1.0,0.47652921109616625,0.8305084745762712,0.189
LTP486,3,Neg,0.9333333333333333,0.47485904271891344,0.10344827586206898,0.9762
LTP486,3,Pos,0.9333333333333333,0.5834765226732614,0.10344827586206898,0.9762
LTP486,3,Sham,1.0,0.5287395057755091,0.10344827586206898,0.9762
LTP488,0,Neg,0.4888888888888889,0.380425358715543,0.4392361111111111,0.7404
LTP488,0,Pos,0.6444444444444445,0.9987103103834315,0.4392361111111111,0.7404
LTP488,0,Sham,0.8,0.9999999928005875,0.4392361111111111,0.7404
LTP488,1,Neg,0.7555555555555555,0.40793144519137936,0.6819196428571428,0.0078
LTP488,1,Pos,0.6444444444444445,0.6704777669398437,0.6819196428571428,0.0078
LTP488,1,Sham,0.4,0.12201466497662755,0.6819196428571428,0.0078
LTP488,2,Neg,0.7777777777777778,0.40811724397306776,0.4695767195767196,0.6346
LTP488,2,Pos,0.5333333333333333,0.7159764103335056,0.4695767195767196,0.6346
LTP488,2,Sham,0.8,0.5603571856877967,0.4695767195767196,0.6346
LTP488,3,Neg,0.8222222222222222,0.2865550578700304,0.6506696428571429,0.0228
LTP488,3,Pos,0.5555555555555556,0.7726566230018511,0.6506696428571429,0.0228
LTP488,3,Sham,0.5333333333333333,0.4494668854149718,0.6506696428571429,0.0228
LTP493,0,Neg,0.4444444444444444,0.4132713377230202,0.47777777777777775,0.6172
LTP493,0,Pos,0.5555555555555556,0.9300333214756163,0.47777777777777775,0.6172
LTP493,0,Sham,0.5333333333333333,0.8362672521789015,0.47777777777777775,0.6172
LTP493,1,Neg,0.5333333333333333,0.411454836311392,0.5914702581369249,0.1112
LTP493,1,Pos,0.4666666666666667,0.8576940282645834,0.5914702581369249,0.1112
LTP493,1,Sham,0.43333333333333335,0.9494715961185883,0.5914702581369249,0.1112
LTP493,2,Neg,0.3333333333333333,0.34285135712750664,0.4575892857142857,0.717
LTP493,2,Pos,0.4222222222222222,0.6659339187599955,0.4575892857142857,0.717
LTP493,2,Sham,0.4666666666666667,0.525022689484289,0.4575892857142857,0.717
LTP493,3,Neg,0.6222222222222222,0.44336616313185334,0.5684093437152391,0.1906
LTP493,3,Pos,0.37777777777777777,0.957885519387688,0.5684093437152391,0.1906
LTP493,3,Sham,0.4,0.6192080187214636,0.5684093437152391,0.1906
LTP494,0,Neg,0.5333333333333333,0.45567269617720646,0.5558035714285714,0.2352
LTP494,0,Pos,0.7333333333333333,0.5283124752086744,0.5558035714285714,0.2352
LTP494,0,Sham,0.4,0.4028968481572079,0.5558035714285714,0.2352
LTP494,1,Neg,0.4666666666666667,0.4707704156570235,0.5538194444444444,0.2894
LTP494,1,Pos,0.4888888888888889,0.5229494270945338,0.5538194444444444,0.2894
LTP494,1,Sham,0.7666666666666667,0.43124206864011033,0.5538194444444444,0.2894
LTP494,3,Neg,0.4666666666666667,0.4397589935869383,0.5454545454545454,0.2944
LTP494,3,Pos,0.4,0.5156831470402127,0.5454545454545454,0.2944
LTP494,3,Sham,0.6,0.39424529120867274,0.5454545454545454,0.2944
LTP495,0,Neg,0.7777777777777778,0.47037045674071776,0.65625,0.0798
LTP495,0,Pos,0.7333333333333333,0.5148591619411993,0.65625,0.0798
LTP495,0,Sham,0.8,0.46287141165714474,0.65625,0.0798
LTP495,1,Neg,0.7111111111111111,0.48873224461074793,0.5037037037037037,0.4974
LTP495,1,Pos,0.4666666666666667,0.5250775985029648,0.5037037037037037,0.4974
LTP495,1,Sham,0.8333333333333334,0.47303835330065663,0.5037037037037037,0.4974
LTP495,2,Neg,0.7111111111111111,0.477136490266553,0.44653349001175086,0.764
LTP495,2,Pos,0.6888888888888889,0.515751310387422,0.44653349001175086,0.764
LTP495,2,Sham,0.6,0.45140668772597714,0.44653349001175086,0.764
LTP495,3,Neg,0.4888888888888889,0.4899914251314654,0.458994708994709,0.7026
LTP495,3,Pos,0.8444444444444444,0.5613280924991915,0.458994708994709,0.7026
LTP495,3,Sham,0.6333333333333333,0.5157089228555067,0.458994708994709,0.7026
LTP496,0,Neg,0.9333333333333333,0.038517903114392855,0.4109090909090909,0.7414
LTP496,0,Pos,0.9111111111111111,0.758855331998799,0.4109090909090909,0.7414
LTP496,0,Sham,0.9,0.0006218891105264618,0.4109090909090909,0.7414
LTP496,1,Neg,0.8888888888888888,0.2457682468692937,0.7410714285714286,0.0582
LTP496,1,Pos,0.9777777777777777,0.9386975266094276,0.7410714285714286,0.0582
LTP496,1,Sham,0.9,0.9999999999999735,0.7410714285714286,0.0582
LTP496,2,Neg,0.8888888888888888,0.11397930257820225,0.6982758620689655,0.1934
LTP496,2,Pos,0.9111111111111111,0.9202593650769558,0.6982758620689655,0.1934
LTP496,2,Sham,0.9666666666666667,0.12618376056996705,0.6982758620689655,0.1934
LTP496,3,Neg,0.9333333333333333,0.19802416358438504,0.7413793103448276,0.1464
LTP496,3,Pos,0.8444444444444444,0.9347995346187168,0.7413793103448276,0.1464
LTP496,3,Sham,0.9666666666666667,0.4870729696226018,0.7413793103448276,0.1464
LTP497,0,Neg,0.5555555555555556,0.40466043204020313,0.4916512059369202,0.5254
LTP497,0,Pos,0.6666666666666666,0.5453636003550335,0.4916512059369202,0.5254
LTP497,0,Sham,0.8,0.45916560877343554,0.4916512059369202,0.5254
LTP497,1,Neg,0.6444444444444445,0.4508416000670069,0.6252319109461967,0.1044
LTP497,1,Pos,0.5555555555555556,0.6355852746565906,0.6252319109461967,0.1044
LTP497,1,Sham,0.7333333333333333,0.5608860780620982,0.6252319109461967,0.1044
LTP497,2,Neg,0.5333333333333333,0.4492778505366988,0.46153846153846156,0.6968
LTP497,2,Pos,0.4666666666666667,0.6206941217682227,0.46153846153846156,0.6968
LTP497,2,Sham,0.5,0.5927684392777717,0.46153846153846156,0.6968
LTP497,3,Neg,0.5555555555555556,0.358325558548557,0.5776397515527951,0.192
LTP497,3,Pos,0.4222222222222222,0.5274553725435835,0.5776397515527951,0.192
LTP497,3,Sham,0.7,0.3516651256111096,0.5776397515527951,0.192
LTP498,0,Neg,0.6222222222222222,0.32653342787699946,0.549043062200957,0.2636
LTP498,0,Pos,0.6444444444444445,0.5147626241810297,0.549043062200957,0.2636
LTP498,0,Sham,0.6333333333333333,0.29514662319137275,0.549043062200957,0.2636
LTP498,2,Neg,0.7555555555555555,0.41409963021605645,0.592013888888889,0.1594
LTP498,2,Pos,0.6666666666666666,0.5281937858148386,0.592013888888889,0.1594
LTP498,2,Sham,0.8666666666666667,0.4184549730440962,0.592013888888889,0.1594
LTP498,3,Neg,0.6444444444444445,0.47245995187304723,0.525,0.3958
LTP498,3,Pos,0.5555555555555556,0.6510963692680491,0.525,0.3958
LTP498,3,Sham,0.6333333333333333,0.5770020020325904,0.525,0.3958
LTP500,0,Neg,0.4666666666666667,0.17722093065510977,0.5874285714285714,0.1272
LTP500,0,Pos,0.4444444444444444,0.9425096168927405,0.5874285714285714,0.1272
LTP500,0,Sham,0.43333333333333335,0.9315021583231766,0.5874285714285714,0.1272
LTP500,1,Neg,0.4444444444444444,0.26755058454332215,0.4932126696832579,0.532
LTP500,1,Pos,0.7333333333333333,0.9406632195679084,0.4932126696832579,0.532
LTP500,1,Sham,0.4666666666666667,0.9907434790839232,0.4932126696832579,0.532
LTP500,2,Neg,0.9333333333333333,0.08654635000341916,0.2897727272727273,0.9636
LTP500,2,Pos,0.6666666666666666,0.9382492872973026,0.2897727272727273,0.9636
LTP500,2,Sham,0.6,0.6714703084012718,0.2897727272727273,0.9636
LTP500,3,Neg,0.7777777777777778,0.1747011668960263,0.580965909090909,0.1776
LTP500,3,Pos,0.6888888888888889,0.946088929486257,0.580965909090909,0.1776
LTP500,3,Sham,0.6333333333333333,0.9333993900285702,0.580965909090909,0.1776
