subject,session,trial_type,recalled,probability,score,pval
LTP462,0,Neg,0.3333333333333333,0.48501247288078464,0.6685267857142857,0.0134
LTP462,0,Pos,0.6666666666666666,0.5044990154648906,0.6685267857142857,0.0134
LTP462,0,Sham,0.3,0.48788003029746113,0.6685267857142857,0.0134
LTP462,1,Neg,0.6222222222222222,0.4859407895160365,0.7779204107830552,0.0004
LTP462,1,Pos,0.4888888888888889,0.5050997418728076,0.7779204107830552,0.0004
LTP462,1,Sham,0.5,0.48039775563779263,0.7779204107830552,0.0004
LTP468,0,Neg,0.5333333333333333,0.4977567879182428,0.3911483253588517,0.9234
LTP468,0,Pos,0.6444444444444445,0.506826399073929,0.3911483253588517,0.9234
LTP468,0,Sham,0.4666666666666667,0.5097647650956247,0.3911483253588517,0.9234
LTP468,1,Neg,0.5555555555555556,0.4870182104649,0.5499412455934195,0.2508
LTP468,1,Pos,0.6,0.5045652855991198,0.5499412455934195,0.2508
LTP468,1,Sham,0.6666666666666666,0.4884101366089476,0.5499412455934195,0.2508
LTP470,0,Neg,0.4888888888888889,0.4624536821769025,0.6210407239819005,0.0538
LTP470,0,Pos,0.4222222222222222,0.5080735007649017,0.6210407239819005,0.0538
LTP470,0,Sham,0.5,0.46284479442236204,0.6210407239819005,0.0538
LTP470,1,Neg,0.5777777777777777,0.4823274207567463,0.582535885167464,0.145
LTP470,1,Pos,0.8222222222222222,0.5194399609286631,0.582535885167464,0.145
LTP470,1,Sham,0.6666666666666666,0.5040410509561044,0.582535885167464,0.145
LTP473,0,Neg,0.8666666666666667,0.4922304246916405,0.56,0.3408
LTP473,0,Pos,0.8888888888888888,0.5164760281182047,0.56,0.3408
LTP473,0,Sham,0.9,0.5036009587035106,0.56,0.3408
LTP473,1,Neg,0.8888888888888888,0.49524397356343813,0.2844827586206896,0.8398
LTP473,1,Pos,0.8,0.5111453270970531,0.2844827586206896,0.8398
LTP473,1,Sham,0.9333333333333333,0.4988850142046292,0.2844827586206896,0.8398
LTP474,0,Neg,0.8,0.25305042053633725,0.3117283950617284,0.934
LTP474,0,Pos,0.6666666666666666,0.8117078750994502,0.3117283950617284,0.934
LTP474,0,Sham,0.9666666666666667,0.7437167430487491,0.3117283950617284,0.934
LTP474,1,Neg,0.7777777777777778,0.3079089198556504,0.6011428571428571,0.0892
LTP474,1,Pos,0.7555555555555555,0.9373085446709047,0.6011428571428571,0.0892
LTP474,1,Sham,0.5,0.6653604105753385,0.6011428571428571,0.0892
LTP475,0,Neg,0.9777777777777777,0.4790593252891885,0.6810344827586207,0.2136
LTP475,0,Pos,0.8666666666666667,0.6162789792304406,0.6810344827586207,0.2136
LTP475,0,Sham,0.9333333333333333,0.6276294261690316,0.6810344827586207,0.2136
