,,classifier duration,classifier duration,classifier duration,overtime,overtime,overtime
LTP493,1,0.2163589233305392,0.18235957622528,1.5475478172302242,0,82,0.0
LTP493,2,0.33410190902979986,0.232144832611083,4.72969913482666,0,115,0.0
LTP493,3,0.19592318996306343,0.18728494644165,0.48523497581481906,0,93,0.0
LTP494,0,0.18800339158975807,0.18343901634216253,0.261327028274536,0,107,0.0
LTP494,1,0.1922865911405909,0.182343006134033,0.340353965759277,0,98,0.0
LTP494,2,3.649973228139784,0.21062016487121502,18.308238744735718,24,103,0.23300970873786409
LTP494,3,0.48723760339402616,0.277487993240356,3.042678117752075,0,99,0.0
LTP495,0,0.1982077816699409,0.1827989816665645,0.475005865097045,0,94,0.0
LTP495,1,0.7586574847238102,0.30368053913116455,3.787032127380371,0,118,0.0
LTP495,2,0.2178777860743654,0.210308909416198,0.35905790328979403,0,112,0.0
LTP495,3,0.20592310769217306,0.194257974624633,0.520299196243286,0,106,0.0
LTP496,0,0.19432162452530033,0.18571400642395,0.303476333618164,0,91,0.0
LTP496,1,0.20211628261877518,0.18750298023223852,0.42968201637268005,0,99,0.0
LTP496,2,0.21059326867799452,0.19901299476623502,0.46003508567810003,0,111,0.0
LTP496,3,0.19765385734700663,0.180615186691284,0.9613771438598631,0,108,0.0
LTP497,0,0.19796068995606625,0.189675450325012,0.33702111244201605,0,103,0.0
LTP497,1,0.1988495660864784,0.18860387802124,0.406198024749755,0,116,0.0
LTP497,2,0.18125326944434078,0.175602912902832,0.24767637252807603,0,115,0.0
LTP497,3,0.19194472773691193,0.18281292915344202,0.43452787399291903,0,91,0.0
LTP498,0,0.2296578236568117,0.200313091278076,0.7999911308288571,0,81,0.0
LTP498,1,21.99024981585416,0.44942653179168707,76.02799701690674,53,117,0.452991452991453
LTP498,2,0.19160878769705184,0.180830955505371,0.6407229900360101,0,108,0.0
LTP498,3,0.19506683778226996,0.18770217895507801,0.362799882888793,0,89,0.0
LTP500,0,0.2028845781865323,0.1918165683746335,0.43364787101745605,0,92,0.0
LTP500,1,0.21475821860293076,0.20201694965362502,0.60280704498291,0,94,0.0
LTP500,2,0.17949071908608405,0.17565178871154702,0.23611688613891602,0,39,0.0
LTP500,3,0.19162086611208656,0.18532800674438402,0.290300846099853,0,115,0.0
