subject,session,trial_type,recalled,score,pval,trial_code,signif.05,signif.1
LTP476,0,Pos,0.5777777777777777,0.5879332477535302,0.1454,2,False,False
LTP476,0,Sham,0.7666666666666667,0.5879332477535302,0.1454,1,False,False
LTP476,1,Neg,0.4222222222222222,0.7392592592592593,0.0022,0,True,True
LTP476,1,Pos,0.6,0.7392592592592593,0.0022,2,True,True
LTP476,1,Sham,0.8666666666666667,0.7392592592592593,0.0022,1,True,True
LTP477,0,Neg,0.6222222222222222,0.7324999999999999,0.0024,0,True,True
LTP477,0,Pos,0.7111111111111111,0.7324999999999999,0.0024,2,True,True
LTP477,0,Sham,0.5,0.7324999999999999,0.0024,1,True,True
LTP477,1,Neg,0.4222222222222222,0.6470588235294118,0.0268,0,True,True
LTP477,1,Pos,0.6222222222222222,0.6470588235294118,0.0268,2,True,True
LTP477,1,Sham,0.6,0.6470588235294118,0.0268,1,True,True
LTP478,0,Neg,0.7555555555555555,0.49658002735978113,0.5258,0,False,False
LTP478,0,Pos,0.6444444444444445,0.49658002735978113,0.5258,2,False,False
LTP478,0,Sham,0.5666666666666667,0.49658002735978113,0.5258,1,False,False
LTP478,1,Neg,0.8444444444444444,0.6100217864923747,0.1638,0,False,False
LTP478,1,Pos,0.9111111111111111,0.6100217864923747,0.1638,2,False,False
LTP478,1,Sham,0.8,0.6100217864923747,0.1638,1,False,False
LTP478,2,Neg,0.9555555555555556,0.6949891067538126,0.029,0,True,True
LTP478,2,Pos,0.9111111111111111,0.6949891067538126,0.029,2,True,True
LTP478,2,Sham,0.8,0.6949891067538126,0.029,1,True,True
LTP478,3,Neg,0.9555555555555556,0.35096153846153844,0.908,0,False,False
LTP478,3,Pos,0.9111111111111111,0.35096153846153844,0.908,2,False,False
LTP478,3,Sham,0.8666666666666667,0.35096153846153844,0.908,1,False,False
LTP479,0,Neg,0.9555555555555556,0.8983050847457628,0.116,0,False,False
LTP479,0,Pos,0.9555555555555556,0.8983050847457628,0.116,2,False,False
LTP479,0,Sham,0.9666666666666667,0.8983050847457628,0.116,1,False,False
LTP479,1,Neg,0.8888888888888888,0.368421052631579,0.7768,0,False,False
LTP479,1,Pos,0.9555555555555556,0.368421052631579,0.7768,2,False,False
LTP479,1,Sham,0.9333333333333333,0.368421052631579,0.7768,1,False,False
LTP479,2,Neg,0.9333333333333333,0.7017543859649122,0.1268,0,False,False
LTP479,2,Pos,0.9555555555555556,0.7017543859649122,0.1268,2,False,False
LTP479,2,Sham,0.9333333333333333,0.7017543859649122,0.1268,1,False,False
LTP481,0,Neg,0.4666666666666667,0.5261401557285873,0.3652,0,False,False
LTP481,0,Pos,0.4222222222222222,0.5261401557285873,0.3652,2,False,False
LTP481,0,Sham,0.36666666666666664,0.5261401557285873,0.3652,1,False,False
LTP481,1,Neg,0.9111111111111111,0.38181818181818183,0.8036,0,False,False
LTP481,1,Pos,0.8444444444444444,0.38181818181818183,0.8036,2,False,False
LTP481,1,Sham,1.0,0.38181818181818183,0.8036,1,False,False
LTP481,2,Neg,0.9111111111111111,0.5849056603773586,0.2454,0,False,False
LTP481,2,Pos,0.8444444444444444,0.5849056603773586,0.2454,2,False,False
LTP481,2,Sham,0.8333333333333334,0.5849056603773586,0.2454,1,False,False
LTP481,3,Neg,0.7555555555555555,0.28014842300556586,0.9908,0,False,False
LTP481,3,Pos,0.35555555555555557,0.28014842300556586,0.9908,2,False,False
LTP481,3,Sham,0.8666666666666667,0.28014842300556586,0.9908,1,False,False
LTP484,0,Neg,0.7111111111111111,0.5982142857142857,0.258,0,False,False
LTP484,0,Pos,0.8222222222222222,0.5982142857142857,0.258,2,False,False
LTP484,0,Sham,0.9,0.5982142857142857,0.258,1,False,False
LTP484,1,Neg,0.8222222222222222,0.7251461988304094,0.1,0,False,True
LTP484,1,Pos,0.8888888888888888,0.7251461988304094,0.1,2,False,True
LTP484,1,Sham,0.9333333333333333,0.7251461988304094,0.1,1,False,True
LTP484,2,Neg,0.7777777777777778,0.7633928571428572,0.0376,0,True,True
LTP484,2,Pos,0.8444444444444444,0.7633928571428572,0.0376,2,True,True
LTP484,2,Sham,0.8666666666666667,0.7633928571428572,0.0376,1,True,True
LTP484,3,Neg,0.8,0.7276785714285714,0.0642,0,False,True
LTP484,3,Pos,0.6888888888888889,0.7276785714285714,0.0642,2,False,True
LTP484,3,Sham,0.8666666666666667,0.7276785714285714,0.0642,1,False,True
LTP486,0,Neg,0.8888888888888888,0.22033898305084745,0.7898,0,False,False
LTP486,0,Pos,0.9555555555555556,0.22033898305084745,0.7898,2,False,False
LTP486,0,Sham,0.9666666666666667,0.22033898305084745,0.7898,1,False,False
LTP486,1,Neg,0.9555555555555556,0.34375,0.9534,0,False,False
LTP486,1,Pos,0.9333333333333333,0.34375,0.9534,2,False,False
LTP486,1,Sham,0.7,0.34375,0.9534,1,False,False
LTP486,2,Neg,0.9333333333333333,0.8305084745762712,0.1848,0,False,False
LTP486,2,Pos,1.0,0.8305084745762712,0.1848,2,False,False
LTP486,2,Sham,1.0,0.8305084745762712,0.1848,1,False,False
LTP486,3,Neg,0.9333333333333333,0.10344827586206898,0.9738,0,False,False
LTP486,3,Pos,0.9333333333333333,0.10344827586206898,0.9738,2,False,False
LTP486,3,Sham,1.0,0.10344827586206898,0.9738,1,False,False
LTP488,0,Neg,0.4888888888888889,0.4392361111111111,0.7344,0,False,False
LTP488,0,Pos,0.6444444444444445,0.4392361111111111,0.7344,2,False,False
LTP488,0,Sham,0.8,0.4392361111111111,0.7344,1,False,False
LTP488,1,Neg,0.7555555555555555,0.6819196428571428,0.0092,0,True,True
LTP488,1,Pos,0.6444444444444445,0.6819196428571428,0.0092,2,True,True
LTP488,1,Sham,0.4,0.6819196428571428,0.0092,1,True,True
LTP488,2,Neg,0.7777777777777778,0.4695767195767196,0.6344,0,False,False
LTP488,2,Pos,0.5333333333333333,0.4695767195767196,0.6344,2,False,False
LTP488,2,Sham,0.8,0.4695767195767196,0.6344,1,False,False
LTP488,3,Neg,0.8222222222222222,0.6506696428571429,0.0256,0,True,True
LTP488,3,Pos,0.5555555555555556,0.6506696428571429,0.0256,2,True,True
LTP488,3,Sham,0.5333333333333333,0.6506696428571429,0.0256,1,True,True
LTP493,0,Neg,0.4444444444444444,0.47777777777777775,0.6146,0,False,False
LTP493,0,Pos,0.5555555555555556,0.47777777777777775,0.6146,2,False,False
LTP493,0,Sham,0.5333333333333333,0.47777777777777775,0.6146,1,False,False
LTP493,1,Neg,0.5333333333333333,0.5914702581369249,0.1144,0,False,False
LTP493,1,Pos,0.4666666666666667,0.5914702581369249,0.1144,2,False,False
LTP493,1,Sham,0.43333333333333335,0.5914702581369249,0.1144,1,False,False
LTP493,2,Neg,0.3333333333333333,0.4575892857142857,0.7074,0,False,False
LTP493,2,Pos,0.4222222222222222,0.4575892857142857,0.7074,2,False,False
LTP493,2,Sham,0.4666666666666667,0.4575892857142857,0.7074,1,False,False
LTP493,3,Neg,0.6222222222222222,0.5684093437152391,0.1844,0,False,False
LTP493,3,Pos,0.37777777777777777,0.5684093437152391,0.1844,2,False,False
LTP493,3,Sham,0.4,0.5684093437152391,0.1844,1,False,False
LTP494,0,Neg,0.5333333333333333,0.5558035714285714,0.2312,0,False,False
LTP494,0,Pos,0.7333333333333333,0.5558035714285714,0.2312,2,False,False
LTP494,0,Sham,0.4,0.5558035714285714,0.2312,1,False,False
LTP494,1,Neg,0.4666666666666667,0.5538194444444444,0.2878,0,False,False
LTP494,1,Pos,0.4888888888888889,0.5538194444444444,0.2878,2,False,False
LTP494,1,Sham,0.7666666666666667,0.5538194444444444,0.2878,1,False,False
LTP494,2,Neg,0.4444444444444444,0.388,0.8628,0,False,False
LTP494,2,Pos,0.4,0.388,0.8628,2,False,False
LTP494,2,Sham,0.7333333333333333,0.388,0.8628,1,False,False
LTP494,3,Neg,0.4666666666666667,0.5454545454545454,0.3092,0,False,False
LTP494,3,Pos,0.4,0.5454545454545454,0.3092,2,False,False
LTP494,3,Sham,0.6,0.5454545454545454,0.3092,1,False,False
LTP495,0,Neg,0.7777777777777778,0.65625,0.0796,0,False,True
LTP495,0,Pos,0.7333333333333333,0.65625,0.0796,2,False,True
LTP495,0,Sham,0.8,0.65625,0.0796,1,False,True
LTP495,1,Neg,0.7111111111111111,0.5037037037037037,0.4916,0,False,False
LTP495,1,Pos,0.4666666666666667,0.5037037037037037,0.4916,2,False,False
LTP495,1,Sham,0.8333333333333334,0.5037037037037037,0.4916,1,False,False
LTP495,2,Neg,0.7111111111111111,0.44653349001175086,0.7556,0,False,False
LTP495,2,Pos,0.6888888888888889,0.44653349001175086,0.7556,2,False,False
LTP495,2,Sham,0.6,0.44653349001175086,0.7556,1,False,False
LTP495,3,Neg,0.4888888888888889,0.458994708994709,0.6924,0,False,False
LTP495,3,Pos,0.8444444444444444,0.458994708994709,0.6924,2,False,False
LTP495,3,Sham,0.6333333333333333,0.458994708994709,0.6924,1,False,False
LTP496,0,Neg,0.9333333333333333,0.4109090909090909,0.7304,0,False,False
LTP496,0,Pos,0.9111111111111111,0.4109090909090909,0.7304,2,False,False
LTP496,0,Sham,0.9,0.4109090909090909,0.7304,1,False,False
LTP496,1,Neg,0.8888888888888888,0.7410714285714286,0.057,0,False,True
LTP496,1,Pos,0.9777777777777777,0.7410714285714286,0.057,2,False,True
LTP496,1,Sham,0.9,0.7410714285714286,0.057,1,False,True
LTP496,2,Neg,0.8888888888888888,0.6982758620689655,0.1858,0,False,False
LTP496,2,Pos,0.9111111111111111,0.6982758620689655,0.1858,2,False,False
LTP496,2,Sham,0.9666666666666667,0.6982758620689655,0.1858,1,False,False
LTP496,3,Neg,0.9333333333333333,0.7413793103448276,0.1494,0,False,False
LTP496,3,Pos,0.8444444444444444,0.7413793103448276,0.1494,2,False,False
LTP496,3,Sham,0.9666666666666667,0.7413793103448276,0.1494,1,False,False
LTP497,0,Neg,0.5555555555555556,0.4916512059369202,0.5364,0,False,False
LTP497,0,Pos,0.6666666666666666,0.4916512059369202,0.5364,2,False,False
LTP497,0,Sham,0.8,0.4916512059369202,0.5364,1,False,False
LTP497,1,Neg,0.6444444444444445,0.6252319109461967,0.0968,0,False,True
LTP497,1,Pos,0.5555555555555556,0.6252319109461967,0.0968,2,False,True
LTP497,1,Sham,0.7333333333333333,0.6252319109461967,0.0968,1,False,True
LTP497,2,Neg,0.5333333333333333,0.46153846153846156,0.687,0,False,False
LTP497,2,Pos,0.4666666666666667,0.46153846153846156,0.687,2,False,False
LTP497,2,Sham,0.5,0.46153846153846156,0.687,1,False,False
LTP497,3,Neg,0.5555555555555556,0.5776397515527951,0.1782,0,False,False
LTP497,3,Pos,0.4222222222222222,0.5776397515527951,0.1782,2,False,False
LTP497,3,Sham,0.7,0.5776397515527951,0.1782,1,False,False
LTP498,0,Neg,0.6222222222222222,0.549043062200957,0.2588,0,False,False
LTP498,0,Pos,0.6444444444444445,0.549043062200957,0.2588,2,False,False
LTP498,0,Sham,0.6333333333333333,0.549043062200957,0.2588,1,False,False
LTP498,1,Neg,0.6222222222222222,0.45875,0.6902,0,False,False
LTP498,1,Pos,0.6444444444444445,0.45875,0.6902,2,False,False
LTP498,1,Sham,0.6333333333333333,0.45875,0.6902,1,False,False
LTP498,2,Neg,0.7555555555555555,0.592013888888889,0.1668,0,False,False
LTP498,2,Pos,0.6666666666666666,0.592013888888889,0.1668,2,False,False
LTP498,2,Sham,0.8666666666666667,0.592013888888889,0.1668,1,False,False
LTP498,3,Neg,0.6444444444444445,0.525,0.3798,0,False,False
LTP498,3,Pos,0.5555555555555556,0.525,0.3798,2,False,False
LTP498,3,Sham,0.6333333333333333,0.525,0.3798,1,False,False
LTP500,0,Neg,0.4666666666666667,0.5874285714285714,0.1286,0,False,False
LTP500,0,Pos,0.4444444444444444,0.5874285714285714,0.1286,2,False,False
LTP500,0,Sham,0.43333333333333335,0.5874285714285714,0.1286,1,False,False
LTP500,1,Neg,0.4444444444444444,0.4932126696832579,0.5316,0,False,False
LTP500,1,Pos,0.7333333333333333,0.4932126696832579,0.5316,2,False,False
LTP500,1,Sham,0.4666666666666667,0.4932126696832579,0.5316,1,False,False
LTP500,2,Neg,0.9333333333333333,0.2897727272727273,0.9606,0,False,False
LTP500,2,Pos,0.6666666666666666,0.2897727272727273,0.9606,2,False,False
LTP500,2,Sham,0.6,0.2897727272727273,0.9606,1,False,False
LTP500,3,Neg,0.7777777777777778,0.580965909090909,0.169,0,False,False
LTP500,3,Pos,0.6888888888888889,0.580965909090909,0.169,2,False,False
LTP500,3,Sham,0.6333333333333333,0.580965909090909,0.169,1,False,False
