subject,session,trial_type,recalled,score,pval,trial_code,signif.05,signif.1
LTP462,0,Neg,0.3333333333333333,0.6685267857142857,0.0132,0,True,True
LTP462,0,Pos,0.6666666666666666,0.6685267857142857,0.0132,2,True,True
LTP462,0,Sham,0.3,0.6685267857142857,0.0132,1,True,True
LTP462,1,Neg,0.6222222222222222,0.7779204107830552,0.0004,0,True,True
LTP462,1,Pos,0.4888888888888889,0.7779204107830552,0.0004,2,True,True
LTP462,1,Sham,0.5,0.7779204107830552,0.0004,1,True,True
LTP468,0,Neg,0.5333333333333333,0.3911483253588517,0.9246,0,False,False
LTP468,0,Pos,0.6444444444444445,0.3911483253588517,0.9246,2,False,False
LTP468,0,Sham,0.4666666666666667,0.3911483253588517,0.9246,1,False,False
LTP468,1,Neg,0.5555555555555556,0.5499412455934195,0.2658,0,False,False
LTP468,1,Pos,0.6,0.5499412455934195,0.2658,2,False,False
LTP468,1,Sham,0.6666666666666666,0.5499412455934195,0.2658,1,False,False
LTP470,0,Neg,0.4888888888888889,0.6210407239819005,0.0528,0,False,True
LTP470,0,Pos,0.4222222222222222,0.6210407239819005,0.0528,2,False,True
LTP470,0,Sham,0.5,0.6210407239819005,0.0528,1,False,True
LTP470,1,Neg,0.5777777777777777,0.582535885167464,0.1546,0,False,False
LTP470,1,Pos,0.8222222222222222,0.582535885167464,0.1546,2,False,False
LTP470,1,Sham,0.6666666666666666,0.582535885167464,0.1546,1,False,False
LTP473,0,Neg,0.8666666666666667,0.56,0.3328,0,False,False
LTP473,0,Pos,0.8888888888888888,0.56,0.3328,2,False,False
LTP473,0,Sham,0.9,0.56,0.3328,1,False,False
LTP473,1,Neg,0.8888888888888888,0.2844827586206896,0.8388,0,False,False
LTP473,1,Pos,0.8,0.2844827586206896,0.8388,2,False,False
LTP473,1,Sham,0.9333333333333333,0.2844827586206896,0.8388,1,False,False
LTP474,0,Neg,0.8,0.3117283950617284,0.9296,0,False,False
LTP474,0,Pos,0.6666666666666666,0.3117283950617284,0.9296,2,False,False
LTP474,0,Sham,0.9666666666666667,0.3117283950617284,0.9296,1,False,False
LTP474,1,Neg,0.7777777777777778,0.6011428571428571,0.088,0,False,True
LTP474,1,Pos,0.7555555555555555,0.6011428571428571,0.088,2,False,True
LTP474,1,Sham,0.5,0.6011428571428571,0.088,1,False,True
LTP475,0,Neg,0.9777777777777777,0.6810344827586207,0.2048,0,False,False
LTP475,0,Pos,0.8666666666666667,0.6810344827586207,0.2048,2,False,False
LTP475,0,Sham,0.9333333333333333,0.6810344827586207,0.2048,1,False,False
LTP475,1,Neg,0.9777777777777777,0.2592592592592593,0.9722,0,False,False
LTP475,1,Pos,0.8888888888888888,0.2592592592592593,0.9722,2,False,False
LTP475,1,Sham,0.8,0.2592592592592593,0.9722,1,False,False
LTP476,0,Neg,0.5777777777777777,0.5879332477535302,0.1454,0,False,False
