"","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"1","fixed",NA,"(Intercept)",0.709924677869291,0.0376600320829382,18.8508782017454,18.9999981978202,9.31153580384765e-14,0.631101324323881,0.788748031414701
"2","fixed",NA,"trial_type_num",-0.0109865320487463,0.0111589459147931,-0.984549269495231,40.0000006546867,0.330763623311764,-0.0335396030073947,0.0115665389099021
"3","fixed",NA,"AUC_cent",-0.263143933475029,0.346513471884449,-0.759404625869146,18.999998192341,0.456929751879912,-0.98840496997592,0.462117103025862
"4","fixed",NA,"trial_type_num:AUC_cent",0.216119333523111,0.102674503383058,2.10489777308017,40.0000006551794,0.0416290826534267,0.00860642162957323,0.423632245416649
"5","ran_pars","subject","sd__(Intercept)",0.14940519125837,NA,NA,NA,NA,NA,NA
"6","ran_pars","Residual","sd__Observation",0.0645238691728621,NA,NA,NA,NA,NA,NA
